Id,Latitude,Longitude
0,9.0222354,38.8086219
1,9.012946,38.8105187
2,9.0261409,38.8083042
3,9.014524,38.8113109
4,9.0261819,38.8083243
5,9.0222355,38.8103332
6,9.013385,38.8107811
7,9.0208638,38.8024919
8,9.0126558,38.8103516
9,9.025223,38.8089895
10,9.0136607,38.8109285
11,9.0225236,38.8095099
12,9.0134894,38.8108383
13,9.0222167,38.8092946
14,9.0161674,38.8104308
15,9.0156045,38.8106823
16,9.0187459,38.8113303
17,9.0167337,38.8107035
18,9.0248005,38.8064817
19,9.0237912,38.8031048
20,9.0222419,38.8090002
21,9.0250203,38.8060632
22,9.0249528,38.8060069
23,9.0214089,38.8024156
24,9.0221654,38.8113678
25,9.014988,38.8115469
26,9.0227064,38.8062483
27,9.0217322,38.8026734
28,9.0221827,38.8110754
29,9.0148717,38.8115282
30,9.0223303,38.8056596
31,9.022099,38.8086491
32,9.0153362,38.8115579
33,9.0223303,38.8051794
34,9.0221143,38.8115535
35,9.015119,38.8115515
36,9.0223303,38.8056032
37,9.0220918,38.8120261
38,9.0154855,38.8115633
39,9.0214108,38.8010437
40,9.0218495,38.804694
41,9.0212455,38.8022603
42,9.0144676,38.8113517
43,9.0216652,38.8141442
44,9.0142495,38.811248
45,9.0147766,38.8114931
46,9.0146633,38.8114445
47,9.0233268,38.8067949
48,9.0230733,38.8063636
49,9.0238283,38.806538
50,9.0222063,38.8108382
51,9.0226031,38.8054825
52,9.0221798,38.8112602
53,9.0229117,38.805795
54,9.0190243,38.8018903
55,9.0217389,38.8093939
56,9.0175347,38.7982519
57,9.0216439,38.8087272
58,9.0172209,38.7982312
59,9.0215206,38.8025061
60,9.0226814,38.8141146
61,9.0215701,38.8094161
62,9.0175115,38.799423
63,9.0227588,38.802468
64,9.0214872,38.8087602
65,9.0227825,38.8143888
66,9.0161437,38.8020795
67,9.0229406,38.8024063
68,9.0162004,38.7993474
69,9.0235475,38.799638
70,9.0230082,38.8023851
71,9.0230157,38.8167652
72,9.0173647,38.8019179
73,9.0243382,38.8010743
74,9.0235382,38.7995937
75,9.0232532,38.802324
76,9.0228435,38.8146345
77,9.0163197,38.8024877
78,9.0219534,38.8027586
79,9.0220709,38.8027269
80,9.0222518,38.8026831
81,9.0223988,38.8026316
82,9.0172639,38.7976428
83,9.0218607,38.8027311
84,9.0221685,38.8142817
85,9.0222936,38.8156474
86,9.0221071,38.8116829
87,9.0220663,38.8093463
88,9.0235164,38.7994697
89,9.0219713,38.8086731
90,9.021948,38.8093642
91,9.0217909,38.8118858
92,9.0217933,38.8086984
93,9.0220979,38.811875
94,9.0178143,38.8055028
95,9.0242614,38.8011186
96,9.0173997,38.8052964
97,9.0234945,38.8006103
98,9.0143453,38.8104273
99,9.0247448,38.8008423
100,9.0141447,38.8103469
101,9.024615,38.8009818
102,9.0230951,38.8033248
103,9.0149136,38.8107117
104,9.0231885,38.8031664
105,9.0147572,38.8106317
106,9.0232892,38.8029411
107,9.0217712,38.8144426
108,9.0150813,38.8103853
109,9.0241714,38.8028044
110,9.0169927,38.8025019
111,9.0230585,38.8027622
112,9.0230216,38.802854
113,9.0229623,38.8029999
114,9.0173173,38.8021061
115,9.0231687,38.8025428
116,9.0175398,38.8050277
117,9.0231027,38.8026681
118,9.0170946,38.8051215
119,9.0195388,38.8115353
120,9.0204597,38.8151325
121,9.0190406,38.8208032
122,9.0189684,38.8199606
123,9.0206652,38.8120747
124,9.0241144,38.800047
125,9.0207658,38.8136597
126,9.0207006,38.8117105
127,9.0238137,38.8001758
128,9.0236561,38.8001637
129,9.0200176,38.8016172
130,9.0226739,38.8087057
131,9.0226205,38.8086262
132,9.0226462,38.8055417
133,9.0226485,38.8087706
134,9.0225994,38.8088125
135,9.0138626,38.811043
136,9.0189945,38.7987633
137,9.0225885,38.8054219
138,9.0225895,38.8085909
139,9.0225443,38.8088411
140,9.0225013,38.8094428
141,9.0225367,38.8085759
142,9.0225144,38.8096043
143,9.0157631,38.8015384
144,9.0157188,38.8013009
145,9.0229869,38.8140349
